Deal Type,Announce Date,Target Ticker,Target Name,Acquirer Ticker,Announced Total Value (mil.),Payment Type,Deal Status,Completion/Termination Date,Cash Terms,Target Industry Sector
M&A,9/20/2010,NZ US,Netezza LLC,IBM US,1660.56,Cash,Completed,11/11/2010,27.0000/sh.,Technology
M&A,11/8/2012,KYAK US,KAYAK Software Corp,PCLN US,1659.6,Cash or Stock,Completed,5/22/2013,40.0000/sh.,Communications
M&A,4/12/2011,PEPR NA,ProLogis European Properties,,1655.83,Cash,Terminated,5/9/2011,6.0000/sh.,Financial
M&A,8/15/2010,AWB AU,Agrium Asia Pacific Ltd,AGU CN,1651.46,Cash,Completed,12/13/2010,1.3500/sh.,"Consumer, Non-cyclical"
M&A,5/12/2014,MPS US,Mercury Payment Systems Inc,VNTV US,1650,Cash,Completed,6/13/2014,1650.0000 Mln,Financial
M&A,7/5/2011,BLUD US,Immucor Inc,8818Z US,1645.65,Cash,Completed,8/22/2011,27.0000/sh.,"Consumer, Non-cyclical"
M&A,6/6/2016,KANG US,iKang Healthcare Group Inc,YUNFCPZ CH,1645.41,Cash,Pending, ,25.0000/sh.,"Consumer, Non-cyclical"
M&A,11/24/2014,PTP US,Platinum Underwriters Holdings Ltd,RNR US,1643.72,Cash and Stock,Completed,3/3/2015,35.9600/sh.,Financial
M&A,12/1/2014,CODE US,Spansion Inc,CY US,1641.17,Stock,Completed,3/13/2015,N/A,Technology
M&A,5/16/2014,GFF AU,Goodman Fielder Ltd,,1618.79,Cash,Completed,3/20/2015,.6750/sh.,"Consumer, Non-cyclical"
M&A,11/22/2010,DRAK NA,Draka Holding BV,PRY IM,1618.47,Cash and Stock,Completed,4/7/2011,8.6000/sh.,Industrial
M&A,12/23/2010,JAS US,Jo-Ann Stores LLC,24469Z US,1618.33,Cash,Completed,3/21/2011,61.0000/sh.,"Consumer, Cyclical"
M&A,9/28/2015,MTU AU,M2 Group Ltd,VOC AU,1617.13,Stock,Completed,2/9/2016,N/A,Communications
M&A,4/28/2011,8606 JP,Mizuho Securities Co Ltd,8411 JP,1616.3,Stock,Completed,8/29/2011,N/A,Financial
M&A,9/19/2017,BOBE US,Bob Evans Farms Inc/DE,POST US,1613.9,Cash,Pending,3/31/2018,77.0000/sh.,"Consumer, Non-cyclical"
M&A,6/2/2010,GNA CN,Gerdau Ameristeel Corp,GGBR4 BZ,1607.07,Cash,Completed,9/1/2010,11.0000/sh.,Basic Materials
M&A,8/23/2010,PIH AU,Prime Infrastructure Group,BIP US,1601.86,Stock,Completed,6/3/2011,N/A,Utilities
M&A,11/6/2015,DRTY LN,Darty Ltd,FNAC FP,1596.72,Cash,Completed,8/17/2016,1.7000/sh.,"Consumer, Cyclical"
M&A,4/23/2010,CHLD LN,Chloride Group Ltd,EMR US,1596.01,Cash,Completed,9/3/2010,3.7500/sh.,Industrial
M&A,7/2/2015,FRNT NO,Frontline 2012 Ltd,FRO US,1595.78,Stock,Completed,12/1/2015,N/A,Industrial
M&A,2/12/2015,OWW US,Orbitz Worldwide Inc,EXPE US,1595.5,Cash,Completed,9/17/2015,12.0000/sh.,Communications
M&A,2/7/2012,TEMN SW,Temenos Group AG,MSY LN,1594.86,Stock,Terminated,3/12/2012,N/A,Technology
M&A,2/24/2012,COV LN,Cove Energy Ltd,PTTEP TB,1593.48,Cash,Completed,9/18/2012,2.4000/sh.,Energy
M&A,12/24/2014,HEMRAJ TB,Hemaraj Land & Development PCL,WHA TB,1588.23,Cash,Completed,4/20/2015,4.5000/sh.,Financial
M&A,11/27/2017,ELE FP,Euler Hermes Group,ALV GR,1587.57,Cash,Pending,2/13/2018,122.0000/sh.,Financial
M&A,5/6/2016,ENDESAAM CI,Endesa Americas SA,ENELAM CI,1584.73,Cash or Stock,Completed,12/29/2016,300.0000/sh.,Utilities
M&A,9/20/2010,ID US,L-1 Identity Solutions Inc,SAF FP,1582.23,Cash,Completed,7/26/2011,12.0000/sh.,Industrial
M&A,11/11/2014,ORMT IT,Ormat Industries Ltd,ORA US,1582.13,Stock,Completed,2/15/2015,N/A,Energy
M&A,8/8/2011,CNA AU,Coal & Allied Industries Ltd,,1577.59,Cash,Completed,12/19/2011,125.0000/sh.,Energy
M&A,10/18/2012,BEL US,Belmond Ltd,,1573.36,Cash,Terminated,9/13/2013,12.6300/sh.,"Consumer, Cyclical"
