Action ID,Announce Date,Target Ticker,Target Name,Acquirer Ticker,Announced Total Value (mil.),Payment Type,Deal Status,Completion/Termination Date,Cash Terms,Target Industry Sector
69333694,10/1/2012,CRDN US,Ceradyne Inc,MMM US,675.13,Cash,Completed,11/29/2012,35,Industrial
89940244,4/14/2014,CRCL LN,Glencore E&P Canada Inc,GLEN LN,1308.11,Cash,Completed,7/9/2014,5.5,Energy
57278025,8/29/2011,CQO AU,Charter Hall Office REIT,,1392.36,Cash,Completed,5/2/2012,1.8332,Financial
94819706,8/11/2014,CQB US,Chiquita Brands International Inc,,1268.5,Cash,Completed,1/7/2015,14.5,"Consumer, Non-cyclical"
126345390,5/31/2016,CPXX US,Celator Pharmaceuticals Inc,JAZZ US,1281.19,Cash,Completed,7/13/2016,30.25,"Consumer, Non-cyclical"
64226565,5/9/2012,CPWM US,Cost Plus Inc,BBBY US,629.58,Cash,Completed,7/2/2012,22,"Consumer, Cyclical"
76500772,4/29/2013,CPTS US,Bayer Essure Inc,BAYN GR,986.34,Cash,Completed,6/6/2013,31,"Consumer, Non-cyclical"
62995154,3/30/2012,CPR PL,CIMPOR Cimentos de Portugal SGPS SA,899180Z BZ,5431.06,Cash,Completed,6/20/2012,5.5,Industrial
132432363,9/26/2016,CPPL US,Columbia Pipeline Partners LP,TRP CN,2155.05,Cash,Completed,2/17/2017,17.1042,Energy
145256363,8/18/2017,CPN US,Calpine Corp,,17132.7,Cash,Pending,3/31/2018,15.25,Utilities
54772897,5/25/2011,CPKI US,California Pizza Kitchen Inc,PRAX PE,449.41,Cash,Completed,7/8/2011,18.5,"Consumer, Cyclical"
49969491,11/26/2010,CPII US,CPI International LLC,3311331Z US,517.57,Cash,Completed,2/14/2011,19.5,Communications
131517945,9/6/2016,CPHD US,Cepheid,DHR US,3896.58,Cash,Completed,11/8/2016,53,"Consumer, Non-cyclical"
122278120,3/17/2016,CPGX US,Columbia Pipeline Group Inc,TRP CN,12026.25,Cash,Completed,7/1/2016,25.5,Energy
118005120,1/29/2015,COMERUBC MM,Controladora Comercial Mexicana SAB de CV,SORIANAB MM,2241.04,Cash,Completed,7/11/2016,32.6124,"Consumer, Non-cyclical"
108479035,6/19/2015,COLT LN,Colt Group SA,,873.4,Cash,Completed,9/25/2015,1.9,Communications
112259016,9/9/2015,CNW US,XPO CNW Inc,XPO US,3016.06,Cash,Completed,10/30/2015,47.6,Industrial
136443477,12/6/2016,CNV FP,Cnova NV,CO FP,2569.22,Cash,Pending,3/3/2017,5.5,Communications
95714499,9/18/2014,CNQR US,Concur Technologies Inc,SAP GR,7241.19,Cash,Completed,12/5/2014,129,Technology
97671108,10/20/2014,CNL US,Cleco Corporate Holdings LLC,,4685.34,Cash,Completed,4/14/2016,55.37,Utilities
56784077,8/8/2011,CNA AU,Coal & Allied Industries Ltd,,1577.59,Cash,Completed,12/19/2011,125,Energy
50406641,12/13/2010,CML US,Compellent Technologies Inc,DELL US,856.09,Cash,Completed,2/23/2011,27.75,Technology
65571212,6/20/2012,CMJ AU,Consolidated Media Holdings Pty Ltd,FOXA US,1910.97,Cash,Completed,11/21/2012,3.45,Communications
59521064,11/28/2011,CMC US,Commercial Metals Co,IEP US,2570.27,Cash,Terminated,1/11/2012,15,Basic Materials
89929690,4/14/2014,CMA SP,CapitaLand Mall Asia Ltd,CAPL SP,2539.82,Cash,Completed,7/22/2014,2.35,Financial
89194705,3/6/2014,CMA FP,Ciments Francais SAS,IT IM,664.2,Cash,Completed,7/15/2014,79.5,Industrial
56198351,7/15/2011,CLX US,Clorox Co/The,IEP US,11979.11,Cash,Terminated,9/23/2011,80,"Consumer, Non-cyclical"
48242564,9/16/2010,CLU US,Cellu Tissue Holdings Inc,CLW US,492.23,Cash,Completed,12/28/2010,12,Basic Materials
49116552,10/22/2010,CLRT US,Clarient Inc,GE US,447.08,Cash,Completed,12/23/2010,5,"Consumer, Non-cyclical"
44942306,4/30/2010,CLE LN,Climate Exchange PLC,ICE US,543.41,Cash,Completed,7/8/2010,7.5,Financial
83363979,11/4/2013,CLDT US,Chatham Lodging Trust,3620319Z US,538.22,Cash,Terminated,2/2/2014,21.5,Financial
52232429,2/22/2011,CLDA US,Clinical Data Inc,FRX US,966.33,Cash,Completed,4/14/2011,30,"Consumer, Non-cyclical"
138846647,1/18/2017,CLCD US,CoLucid Pharmaceuticals Inc,LLY US,813.37,Cash,Completed,3/2/2017,46.5,"Consumer, Non-cyclical"
136148744,12/1/2016,CLC US,CLARCOR Inc,PH US,4289.15,Cash,Completed,2/28/2017,83,Industrial
54360094,5/10/2011,CKXE US,CORE Media Group Inc,APO US,500.56,Cash,Completed,6/22/2011,5.5,Communications
58675547,10/24/2011,CICSAB1 MM,Carso Infraestructura y Construccion SA de CV,GCARSOA1 MM,504.08,Cash,Completed,5/21/2012,8.2,Industrial
110324137,7/31/2015,CHW LN,Chime Communications Ltd,,559.36,Cash,Completed,10/19/2015,3.65,"Consumer, Non-cyclical"
90995323,5/8/2014,CHTP US,Chelsea Therapeutics International Ltd,LUN DC,459.79,Cash,Completed,6/24/2014,6.44,"Consumer, Non-cyclical"
148845402,7/25/2017,CHOO LN,Jimmy Choo Group Ltd,KORS US,1349.95,Cash,Completed,11/2/2017,2.3,"Consumer, Cyclical"
132421881,9/25/2016,CHMT US,Chemtura Corp,LXS GR,2420.68,Cash,Completed,4/21/2017,33.5,Basic Materials
61826670,2/21/2012,CHG US,CH Energy Group Inc,FTS CN,1442.59,Cash,Completed,6/28/2013,65,Utilities
98946017,11/20/2014,CGG FP,CGG SA,TEC FP,4403.5,Cash,Terminated,12/15/2014,8.3,Energy
68129391,8/28/2012,CFAO FP,CFAO SA,8015 JP,2213.93,Cash,Completed,12/28/2012,37.5,"Consumer, Cyclical"
46523855,7/5/2010,CEY AU,Centennial Coal Co Ltd,BANPU TB,1851.96,Cash,Completed,10/12/2010,6.2,Energy
96439533,9/22/2014,CEQ NO,Cermaq Group AS,8058 JP,1727.82,Cash,Completed,11/17/2014,96,"Consumer, Non-cyclical"
52109220,2/16/2011,CEP SM,Cia Espanola de Petroleos SAU,185587Z UH,7006.96,Cash,Completed,8/23/2011,28,Energy
