MMM US,
9/30/2012,13917.083
12/31/2012,22253
3/31/2013,16136.441
6/30/2013,15736.622
9/30/2013,16759.816
12/31/2013,26083.462
3/31/2014,19430.923
6/30/2014,19318.389
9/30/2014,20841.353
12/31/2014,29683.171
3/31/2015,22371.182
6/30/2015,22384.818
9/30/2015,24856.094
12/31/2015,35909.727
3/31/2016,27990.353
6/30/2016,29534.4
9/30/2016,32688.229
12/31/2016,44657.543
3/31/2017,35308.667
6/30/2017,37199.647
9/30/2017,42193.8
,
,
,
,
,
,
,
,
,
,
AEE US,
3/31/2010,2013
6/30/2010,1751.5
9/30/2010,2115.5
12/31/2010,1607.5
3/31/2011,1946.5
6/30/2011,1726.5
9/30/2011,2219
12/31/2011,1567.5
3/31/2012,1703.5
6/30/2012,1748
9/30/2012,2139
12/31/2012,1757.5
3/31/2013,1633
6/30/2013,1501.5
9/30/2013,1869
12/31/2013,1360
3/31/2014,1483.5
6/30/2014,1396
9/30/2014,1672.5
12/31/2014,1443
3/31/2015,1541.5
6/30/2015,1442.5
9/30/2015,1779
12/31/2015,1507.5
3/31/2016,1510
6/30/2016,1453
9/30/2016,1905.5
12/31/2016,1569.5
3/31/2017,1455
6/30/2017,1418
9/30/2017,1870.5
,
,
,
,
,
,
,
,
,
,
AAL US,
3/31/2010,5111.714
6/30/2010,5687.889
9/30/2010,5836.667
12/31/2010,5578.75
3/31/2011,5484.111
6/30/2011,6115
9/30/2011,6361.4
12/31/2011,5828.5
3/31/2012,#N/A N/A
6/30/2012,6482.667
9/30/2012,6647
12/31/2012,5974
3/31/2013,6145
6/30/2013,6443
9/30/2013,6785
12/31/2013,9900.25
3/31/2014,10020
6/30/2014,11339.333
9/30/2014,11139.714
12/31/2014,10186.769
3/31/2015,9829.769
6/30/2015,10839
9/30/2015,10715.727
12/31/2015,9647.3
3/31/2016,9439.273
6/30/2016,10323.455
9/30/2016,10546.333
12/31/2016,9744.364
3/31/2017,9618.727
6/30/2017,11070.923
9/30/2017,10876.833
,
,
,
,
,
,
,
,
,
,
AEP US,
3/31/2010,3683
6/30/2010,3483.25
9/30/2010,4301.75
12/31/2010,3554.6
3/31/2011,3766.5
6/30/2011,3587
9/30/2011,#N/A N/A
12/31/2011,3445.6
3/31/2012,#N/A N/A
6/30/2012,3573.6
9/30/2012,4613.5
12/31/2012,3556.333
3/31/2013,3787.333
6/30/2013,3637.857
9/30/2013,4541.143
12/31/2013,3401.6
3/31/2014,4122.5
6/30/2014,3954.5
9/30/2014,4438.6
12/31/2014,4217.286
3/31/2015,4625
6/30/2015,3992.857
9/30/2015,4477.429
12/31/2015,3766.5
3/31/2016,4436.857
6/30/2016,3983.5
9/30/2016,4641.833
12/31/2016,3908.571
3/31/2017,3979.6
6/30/2017,3652.75
9/30/2017,4420.2
,
,
,
,
,
,
,
