Action ID,Announce Date,Target Ticker,Target Name,Acquirer Ticker,Announced Total Value (mil.),Payment Type,Deal Status,Completion/Termination Date,Cash Terms,Target Industry Sector
48675578,10/4/2010,0852980D US,Actel Corp,MSCC US,407.35,Cash,Completed,11/3/2010,20.88,Technology
73781769,2/6/2013,0852651D US,Metals USA Holdings Corp,RS US,1202.87,Cash,Completed,4/15/2013,20.65,Basic Materials
58848889,10/31/2011,0851201D CN,Grande Cache Coal Corp,,1054.78,Cash,Completed,3/7/2012,10,Energy
69794386,10/15/2012,0848680D US,Sprint Communications Inc,9984 JP,39739.41,Cash,Completed,7/11/2013,7.65,Communications
76063127,4/15/2013,0848680D US,Sprint Communications Inc,DISH US,37723.42,Cash and Stock,Terminated,6/18/2013,4.76,Communications
71205241,11/28/2012,0838256D US,Knight Capital Group LLC,0329010Z US,685.88,Cash or Stock,Completed,7/2/2013,3.75,Financial
67193741,8/6/2012,0838256D US,Knight Capital Group LLC,,400,Cash,Completed,8/6/2012,400.0000 Mln,Financial
52798596,3/14/2011,0777854D CN,Century Mining Corp,MGZ/H CN,771.33,Stock,Completed,10/24/2011,N/A,Basic Materials
52616140,3/7/2011,0776799D CN,Plutonic Power Corp,AXY CN,467.03,Cash and Stock,Completed,5/18/2011,0.0001,Utilities
44745499,4/22/2010,0772031D US,Qwest Communications International Inc,CTL US,22161.55,Stock,Completed,4/1/2011,N/A,Communications
55398169,6/15/2011,0759047D CN,Breakwater Resources Ltd,NYR BB,455.83,Cash,Completed,9/8/2011,7,Basic Materials
56318401,7/20/2011,0700161D US,SFN Group Inc,RAND NA,715.93,Cash,Completed,9/6/2011,14,"Consumer, Non-cyclical"
50410301,12/13/2010,0698330D CN,Gold Wheaton Gold Corp,FNV CN,732.03,Cash or Stock,Completed,3/17/2011,5.2,Basic Materials
48684806,10/4/2010,0625947D CN,Parkbridge Lifestyle Communities Inc,120537Z CN,769.17,Cash,Completed,1/12/2011,7.3,Financial
64534677,4/16/2012,0625767D US,Stratasys Inc,SSYS US,773.73,Stock,Completed,12/3/2012,N/A,Technology
56300841,7/20/2011,0611568D CN,CNOOC Canada Inc,883 HK,2428.2,Cash,Completed,11/30/2011,34.0000 Mln,Energy
54522273,5/13/2011,0609237D CN,TMX Group Inc,,3851.5,Cash or Stock,Completed,9/19/2012,50,Financial
51932838,2/9/2011,0609237D CN,TMX Group Inc,LSE LN,3124.18,Stock,Terminated,6/29/2011,N/A,Financial
98271015,12/1/2014,0559549D US,IndCor Properties Inc,,8100,Cash,Completed,2/27/2015,8100.0000 Mln,Financial
125604051,5/13/2016,037620 KS,Mirae Asset Securities Co Ltd,006800 KS,2325.15,Stock,Completed,1/20/2017,N/A,Financial
